__time,/mpc/computation/data,/mpc/horizon_prediction/data,/state/odom_pose/orientation/pitch,/state/odom_pose/orientation/roll,/state/odom_pose/orientation/w,/state/odom_pose/orientation/x,/state/odom_pose/orientation/y,/state/odom_pose/orientation/yaw,/state/odom_pose/orientation/z,/state/odom_pose/position/x,/state/odom_pose/position/y,/state/odom_pose/position/z,/state/odom_twist/angular/x,/state/odom_twist/angular/y,/state/odom_twist/angular/z,/state/odom_twist/linear/x,/state/odom_twist/linear/y,/state/odom_twist/linear/z,/state/ref_pose/orientation/pitch,/state/ref_pose/orientation/roll,/state/ref_pose/orientation/w,/state/ref_pose/orientation/x,/state/ref_pose/orientation/y,/state/ref_pose/orientation/yaw,/state/ref_pose/orientation/z,/state/ref_pose/position/x,/state/ref_pose/position/y,/state/ref_pose/position/z,/state/ref_twist/angular/x,/state/ref_twist/angular/y,/state/ref_twist/angular/z,/state/ref_twist/linear/x,/state/ref_twist/linear/y,/state/ref_twist/linear/z
544.977000,1181868.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545.076000,1226106.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545.178000,1727327.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545.278000,1537370.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545.377000,1553911.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545.477000,2149079.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545.578000,1872841.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545.677000,1400965.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545.777000,1417545.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545.878000,1459969.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545.977000,1302591.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546.078000,1691099.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546.177000,1355814.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546.277000,2283805.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546.378000,1607696.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546.478000,1986554.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546.788000,370294172.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547.017000,328952518.000000000,17.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-3.045694025,-0.120209008,-0.018584842,0.000000000,0.000000000,0.000000000,0.000000000,0.323244032,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-3.051842570,-0.010338083,0.043002458,0.000000000,0.000000000,0.000000000,0.000000000,0.288701841,0.000000000,0.000000000
547.273000,392693800.000000000,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.999355459,-0.120593369,-0.030747979,0.000000000,,,,,,
547.274000,,18.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547.275000,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.986790278,-0.219024251,-0.042780195,0.000000000,0.000000000,0.000000000,0.000000000,0.523613010,0.000000000,0.000000000,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.467442321,0.000000000,0.000000000
547.450000,295633160.000000000,17.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.953680403,-0.307107329,-0.064715896,0.000000000,0.000000000,0.000000000,0.000000000,0.570840929,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.961910564,-0.222772970,-0.100972188,0.000000000,0.000000000,0.000000000,0.000000000,0.491346487,0.000000000,0.000000000
547.685000,358457228.000000000,17.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.925882344,-0.454962013,-0.100866218,0.000000000,0.000000000,0.000000000,0.000000000,0.683666204,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.935259115,-0.335592738,-0.127601139,0.000000000,0.000000000,0.000000000,0.000000000,0.659353116,0.000000000,0.000000000
547.863000,,17.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.899240905,-0.577600678,-0.134896895,0.000000000,0.000000000,0.000000000,0.000000000,0.782351599,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.930308633,-0.459044168,-0.166592335,0.000000000,0.000000000,0.000000000,0.000000000,0.681485870,0.000000000,0.000000000
547.864000,309065385.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548.061000,364208512.000000000,16.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.864627186,-0.725044565,-0.181802827,0.000000000,0.000000000,0.000000000,0.000000000,0.865158886,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.887109291,-0.734377948,-0.263381168,0.000000000,0.000000000,0.000000000,0.000000000,0.852438354,0.000000000,0.000000000
548.208000,,14.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.880122205,-0.856122814,-0.215328847,0.000000000,0.000000000,0.000000000,0.000000000,0.945784499,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.873925697,-0.812371456,-0.276979282,0.000000000,0.000000000,0.000000000,0.000000000,0.905119902,0.000000000,0.000000000
548.209000,251089552.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548.345000,226544129.000000000,12.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.879266287,-0.987625831,-0.250372275,0.000000000,0.000000000,0.000000000,0.000000000,0.985006743,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.895305522,-1.003073553,-0.300566694,0.000000000,0.000000000,0.000000000,0.000000000,1.003014929,0.000000000,0.000000000
548.522000,,12.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.884949814,-1.157089932,-0.293879288,0.000000000,0.000000000,0.000000000,0.000000000,1.031720313,0.000000000,0.000000000,,,,,,,,,,,,,,,,
548.523000,295623960.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548.526000,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.890255027,-1.100318235,-0.305607576,0.000000000,,,,,,
548.527000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,1.009484177,0.000000000,0.000000000
548.697000,272221028.000000000,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,1.114424956,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.895882693,-1.287888106,-0.352621353,0.000000000,0.000000000,0.000000000,0.000000000,1.085855136,0.000000000,0.000000000
548.698000,,12.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.871902513,-1.343930856,-0.346809346,0.000000000,,,,,,,,,,,,,,,,,,,,,,
548.875000,287113503.000000000,12.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.863775163,-1.540050453,-0.403619515,0.000000000,0.000000000,0.000000000,0.000000000,1.164354686,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.879932824,-1.473639148,-0.401569677,0.000000000,0.000000000,0.000000000,0.000000000,1.150677855,0.000000000,0.000000000
549.041000,277434252.000000000,13.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.880950119,-1.721304454,-0.449875980,0.000000000,0.000000000,0.000000000,0.000000000,1.166095941,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.875843894,-1.577886479,-0.436751061,0.000000000,0.000000000,0.000000000,0.000000000,1.181523616,0.000000000,0.000000000
549.195000,263663691.000000000,13.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.887461686,-1.902280199,-0.496093815,0.000000000,0.000000000,0.000000000,0.000000000,1.187892253,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.894186861,-1.769763640,-0.515083016,0.000000000,0.000000000,0.000000000,0.000000000,1.161291534,0.000000000,0.000000000
549.347000,259740394.000000000,10.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.898868415,-2.074925463,-0.537518142,0.000000000,0.000000000,0.000000000,0.000000000,1.175707997,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.902817437,-1.982952802,-0.570966994,0.000000000,0.000000000,0.000000000,0.000000000,1.184125985,0.000000000,0.000000000
549.472000,,11.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.921757058,-2.225153609,-0.568521515,0.000000000,0.000000000,0.000000000,0.000000000,1.160902952,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.905745032,-2.079094072,-0.594084614,0.000000000,0.000000000,0.000000000,0.000000000,1.168606820,0.000000000,0.000000000
549.488000,218464662.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549.596000,198381378.000000000,11.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.949932376,-2.364550886,-0.591948390,0.000000000,0.000000000,0.000000000,0.000000000,1.134643269,0.000000000,0.000000000,,,,,,,,,,,0.000000000,0.000000000,0.000000000,1.167729298,0.000000000,0.000000000
549.597000,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.931364620,-2.207336010,-0.611252709,0.000000000,,,,,,
549.718000,211900595.000000000,11.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.970086252,-2.499867752,-0.612966141,0.000000000,0.000000000,0.000000000,0.000000000,1.143159182,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.953955820,-2.326408115,-0.630946617,0.000000000,0.000000000,0.000000000,0.000000000,1.122049988,0.000000000,0.000000000
549.889000,300973168.000000000,11.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.963847506,-2.693123888,-0.648362257,0.000000000,0.000000000,0.000000000,0.000000000,1.159589613,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.967883020,-2.558396345,-0.661364587,0.000000000,0.000000000,0.000000000,0.000000000,1.157560470,0.000000000,0.000000000
550.043000,278369550.000000000,14.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.965943819,-2.876682911,-0.680433769,0.000000000,0.000000000,0.000000000,0.000000000,1.157761849,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.968253527,-2.801090716,-0.689396757,0.000000000,0.000000000,0.000000000,0.000000000,1.170780485,0.000000000,0.000000000
550.178000,244105379.000000000,10.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.998986211,-3.032116375,-0.698954041,0.000000000,0.000000000,0.000000000,0.000000000,1.139888590,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.961841073,-2.925566294,-0.703456153,0.000000000,0.000000000,0.000000000,0.000000000,1.211502382,0.000000000,0.000000000
550.301000,219337913.000000000,11.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-3.039421133,-3.171279960,-0.708342887,0.000000000,0.000000000,0.000000000,0.000000000,1.146405805,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-3.003900758,-3.045427696,-0.712155953,0.000000000,0.000000000,0.000000000,0.000000000,1.120870979,0.000000000,0.000000000
550.448000,240276842.000000000,11.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-3.035835272,-3.323598984,-0.724015036,0.000000000,0.000000000,0.000000000,0.000000000,1.052397002,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-3.037453597,-3.279076160,-0.725747443,0.000000000,0.000000000,0.000000000,0.000000000,1.049882718,0.000000000,0.000000000
550.609000,,12.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
