__time,/mpc/computation/data,/mpc/horizon_prediction/data,/state/odom_pose/orientation/pitch,/state/odom_pose/orientation/roll,/state/odom_pose/orientation/w,/state/odom_pose/orientation/x,/state/odom_pose/orientation/y,/state/odom_pose/orientation/yaw,/state/odom_pose/orientation/z,/state/odom_pose/position/x,/state/odom_pose/position/y,/state/odom_pose/position/z,/state/ref_pose/orientation/pitch,/state/ref_pose/orientation/roll,/state/ref_pose/orientation/w,/state/ref_pose/orientation/x,/state/ref_pose/orientation/y,/state/ref_pose/orientation/yaw,/state/ref_pose/orientation/z,/state/ref_pose/position/x,/state/ref_pose/position/y,/state/ref_pose/position/z,/state/ref_twist/angular/x,/state/ref_twist/angular/y,/state/ref_twist/angular/z,/state/ref_twist/linear/x,/state/ref_twist/linear/y,/state/ref_twist/linear/z
536.462000,,11.000000000,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.916445012,-0.654187108,-0.184244463,0.000000000,0.000000000,0.000000000,0.000000000,0.764115010,0.000000000,0.000000000
536.463000,211472247.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.915051321,-0.699636315,-0.157147729,0.000000000,,,,,,,,,,,,,,,,
536.614000,,11.000000000,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.903600593,-0.823990564,-0.187970262,0.000000000,,,,,,
536.615000,225330474.000000000,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.874990511,0.000000000,0.000000000
536.616000,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.890980679,-0.822045471,-0.191931529,0.000000000,,,,,,,,,,,,,,,,
536.756000,231160395.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.881681012,-0.945119717,-0.226202628,0.000000000,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.925719004,0.000000000,0.000000000
536.757000,,10.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
536.758000,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.891576875,-0.904010809,-0.205510624,0.000000000,,,,,,
536.900000,220613573.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.868204036,-1.095161482,-0.269628880,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.881689105,-1.090957484,-0.238817845,0.000000000,,,,,,
536.901000,,10.000000000,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,1.056410241,0.000000000,0.000000000
