__time,/move_base/cmd_vel/angular/x,/move_base/cmd_vel/angular/y,/move_base/cmd_vel/angular/z,/move_base/cmd_vel/linear/x,/move_base/cmd_vel/linear/y,/move_base/cmd_vel/linear/z,/state/odom_pose/orientation/pitch,/state/odom_pose/orientation/roll,/state/odom_pose/orientation/w,/state/odom_pose/orientation/x,/state/odom_pose/orientation/y,/state/odom_pose/orientation/yaw,/state/odom_pose/orientation/z,/state/odom_pose/position/x,/state/odom_pose/position/y,/state/odom_pose/position/z,/state/odom_twist/angular/x,/state/odom_twist/angular/y,/state/odom_twist/angular/z,/state/odom_twist/linear/x,/state/odom_twist/linear/y,/state/odom_twist/linear/z,/state/ref_pose/orientation/pitch,/state/ref_pose/orientation/roll,/state/ref_pose/orientation/w,/state/ref_pose/orientation/x,/state/ref_pose/orientation/y,/state/ref_pose/orientation/yaw,/state/ref_pose/orientation/z,/state/ref_pose/position/x,/state/ref_pose/position/y,/state/ref_pose/position/z,/state/ref_twist/angular/x,/state/ref_twist/angular/y,/state/ref_twist/angular/z,/state/ref_twist/linear/x,/state/ref_twist/linear/y,/state/ref_twist/linear/z
601.775000,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.707177627,-0.659520297,-0.259208331,0.000000000,0.000000000,0.000000000,0.000000000,1.016568827,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.735415748,-0.556089472,-0.260362482,0.000000000,0.000000000,0.000000000,0.000000000,0.990772688,0.000000000,0.000000000
601.820000,0.000000000,0.000000000,0.030067178,1.161959126,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601.916000,0.000000000,0.000000000,-0.003577174,1.163651022,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601.964000,0.000000000,0.000000000,0.209589487,1.014827486,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601.965000,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.669804827,-0.814607914,-0.344885609,0.000000000,0.000000000,0.000000000,0.000000000,1.090771289,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.698089040,-0.746874077,-0.366603301,0.000000000,0.000000000,0.000000000,0.000000000,1.124537351,0.000000000,0.000000000
602.013000,0.000000000,0.000000000,0.003873934,1.154681561,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602.121000,0.000000000,0.000000000,-0.037393895,1.161376662,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602.192000,0.000000000,0.000000000,0.032013140,1.150141812,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.654971155,-1.048709767,-0.470968490,0.000000000,0.000000000,0.000000000,0.000000000,1.145076515,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.685875757,-0.968257502,-0.467833794,0.000000000,0.000000000,0.000000000,0.000000000,1.133309277,0.000000000,0.000000000
602.215000,0.000000000,0.000000000,-0.073243798,1.163101726,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602.320000,0.000000000,0.000000000,-0.108338397,1.167038041,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602.378000,0.000000000,0.000000000,-0.071308617,1.169934950,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602.380000,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.680238737,-1.246837497,-0.566638831,0.000000000,0.000000000,0.000000000,0.000000000,1.155225886,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.693184244,-1.190600443,-0.556244096,0.000000000,0.000000000,0.000000000,0.000000000,1.142284755,0.000000000,0.000000000
602.415000,0.000000000,0.000000000,-0.147822304,1.168628453,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602.521000,0.000000000,0.000000000,-0.158524484,1.166291444,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602.610000,0.000000000,0.000000000,-0.167280676,1.176915285,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602.611000,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.764426502,-1.498810608,-0.660357789,0.000000000,0.000000000,0.000000000,0.000000000,1.182483407,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.748545784,-1.420679717,-0.627973504,0.000000000,0.000000000,0.000000000,0.000000000,1.129722229,0.000000000,0.000000000
602.614000,0.000000000,0.000000000,-0.146272024,1.165975285,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602.719000,0.000000000,0.000000000,-0.131258066,1.165690151,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602.818000,0.000000000,0.000000000,-0.118733439,1.168727208,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602.847000,0.000000000,0.000000000,-0.051964101,1.186504478,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602.850000,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.864538083,-1.781515760,-0.733820820,0.000000000,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.868168996,-1.739047579,-0.717016264,0.000000000,0.000000000,0.000000000,0.000000000,1.200029350,0.000000000,0.000000000
602.851000,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,1.191510790,0.000000000,0.000000000,,,,,,,,,,,,,,,,
602.913000,0.000000000,0.000000000,-0.087630996,1.166707989,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603.021000,0.000000000,0.000000000,-0.095027109,1.166741637,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603.076000,0.000000000,0.000000000,0.066435194,1.195839057,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.919756528,-2.042648893,-0.789101265,0.000000000,0.000000000,0.000000000,0.000000000,1.115946747,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.907295797,-1.953618906,-0.767530269,0.000000000,0.000000000,0.000000000,0.000000000,1.125381415,0.000000000,0.000000000
603.112000,0.000000000,0.000000000,-0.078628701,1.167434857,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603.215000,0.000000000,0.000000000,-0.070510491,1.165623663,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603.242000,0.000000000,0.000000000,0.137091869,1.161613979,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603.246000,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.952724816,-2.238041331,-0.823304369,0.000000000,0.000000000,0.000000000,0.000000000,1.155356441,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.939944026,-2.166718101,-0.809430382,0.000000000,0.000000000,0.000000000,0.000000000,1.168242637,0.000000000,0.000000000
603.317000,0.000000000,0.000000000,-0.027113222,1.167156882,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603.408000,0.000000000,0.000000000,-0.055676809,1.165841825,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603.450000,0.000000000,0.000000000,0.217634729,1.173114450,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,1.169398202,0.000000000,0.000000000
603.455000,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.929462737,-2.374102263,-0.867330146,0.000000000,,,,,,
603.460000,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.946039187,-2.465799190,-0.868501058,0.000000000,,,,,,,,,,,,,,,,,,,,,,
603.466000,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,1.161630428,0.000000000,0.000000000,,,,,,,,,,,,,,,,
603.534000,0.000000000,0.000000000,-0.051668510,1.168300393,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603.621000,0.000000000,0.000000000,0.011945987,1.109793552,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603.646000,0.000000000,0.000000000,0.200025741,1.176625111,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603.647000,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.911731267,-2.691172658,-0.922559814,0.000000000,0.000000000,0.000000000,0.000000000,1.173723957,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.900788203,-2.580071688,-0.921914976,0.000000000,0.000000000,0.000000000,0.000000000,1.160101580,0.000000000,0.000000000
603.715000,0.000000000,0.000000000,-0.010253853,0.820165622,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603.801000,0.000000000,0.000000000,0.181927453,1.079532741,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603.802000,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.871357949,-2.853115635,-0.970652483,0.000000000,0.000000000,0.000000000,0.000000000,1.107403140,0.000000000,0.000000000,,,,,,,,,,,0.000000000,0.000000000,0.000000000,1.142949397,0.000000000,0.000000000
603.807000,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.890715317,-2.680262917,-0.959206902,0.000000000,,,,,,
603.815000,0.000000000,0.000000000,-0.086537181,0.750806998,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603.916000,0.000000000,0.000000000,-0.121173390,1.133708019,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604.009000,0.000000000,0.000000000,0.093151025,1.092991097,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604.010000,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.900194336,-3.053928911,-1.018034637,0.000000000,0.000000000,0.000000000,0.000000000,0.938940232,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.852514652,-2.883618201,-1.031202594,0.000000000,0.000000000,0.000000000,0.000000000,0.987766365,0.000000000,0.000000000
604.018000,0.000000000,0.000000000,-0.113938619,1.141431498,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604.121000,0.000000000,0.000000000,-0.088949453,1.166982070,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604.195000,0.000000000,0.000000000,0.068229224,1.038940239,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604.200000,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.953493818,-3.257656065,-1.050975940,0.000000000,0.000000000,0.000000000,0.000000000,1.154885600,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.902963057,-3.071867429,-1.072463592,0.000000000,0.000000000,0.000000000,0.000000000,1.087251461,0.000000000,0.000000000
604.216000,0.000000000,0.000000000,-0.059658808,1.161420558,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604.317000,0.000000000,0.000000000,-0.040029475,1.169032841,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604.398000,0.000000000,0.000000000,0.297623879,1.180863984,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604.400000,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,1.153217487,0.000000000,0.000000000,,,,,,,,,,,,,,,,
604.401000,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.956185224,-3.300305056,-1.097606964,0.000000000,0.000000000,0.000000000,0.000000000,1.138792756,0.000000000,0.000000000
604.402000,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.986971519,-3.485476290,-1.083177060,0.000000000,,,,,,,,,,,,,,,,,,,,,,
604.416000,0.000000000,0.000000000,-0.042572974,1.166678265,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604.514000,0.000000000,0.000000000,-0.027270199,1.168090822,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604.573000,0.000000000,0.000000000,0.458423852,1.179140300,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604.576000,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-3.003041835,-3.693980256,-1.110807147,0.000000000,0.000000000,0.000000000,0.000000000,1.165952635,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.982731339,-3.550348254,-1.121843987,0.000000000,0.000000000,0.000000000,0.000000000,1.166969490,0.000000000,0.000000000
604.614000,0.000000000,0.000000000,-0.008575228,1.172539161,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604.713000,0.000000000,0.000000000,0.002981032,1.172087391,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604.779000,0.000000000,0.000000000,0.489620057,1.182020309,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604.782000,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.999607859,-3.924539198,-1.144680509,0.000000000,0.000000000,0.000000000,0.000000000,1.172603676,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.990164228,-3.803045371,-1.147705901,0.000000000,0.000000000,0.000000000,0.000000000,1.174223241,0.000000000,0.000000000
604.816000,0.000000000,0.000000000,0.017223693,1.167144635,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604.918000,0.000000000,0.000000000,-0.000381958,1.166235043,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604.974000,0.000000000,0.000000000,0.537408090,1.184984999,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604.975000,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.982672381,-4.154072266,-1.182993157,0.000000000,0.000000000,0.000000000,0.000000000,1.167054874,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.980171306,-4.043423445,-1.176626169,0.000000000,0.000000000,0.000000000,0.000000000,1.164884027,0.000000000,0.000000000
605.011000,0.000000000,0.000000000,0.004210085,1.173579234,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605.113000,0.000000000,0.000000000,0.024438742,1.173660535,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605.192000,0.000000000,0.000000000,0.503834881,1.178985603,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605.195000,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.970916882,-4.407200329,-1.227701418,0.000000000,0.000000000,0.000000000,0.000000000,1.173314141,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.975428290,-4.282439983,-1.205623192,0.000000000,0.000000000,0.000000000,0.000000000,1.173932074,0.000000000,0.000000000
605.213000,0.000000000,0.000000000,0.039492097,1.167631670,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605.310000,0.000000000,0.000000000,0.064492756,1.166270470,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605.395000,0.000000000,0.000000000,0.613099985,1.189285097,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.940027678,-4.634354707,-1.276835915,0.000000000,0.000000000,0.000000000,0.000000000,1.152767999,0.000000000,0.000000000,,,,,,,,,,,0.000000000,0.000000000,0.000000000,1.163151353,0.000000000,0.000000000
605.399000,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.954651861,-4.517132174,-1.249870093,0.000000000,,,,,,
605.411000,0.000000000,0.000000000,0.094510180,1.165737571,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605.514000,0.000000000,0.000000000,0.087600669,1.178288256,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605.599000,0.000000000,0.000000000,0.530470138,1.173393300,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605.601000,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.890977019,-4.851380513,-1.336919371,0.000000000,,,,,,,,,,,,,,,,,,,,,,
605.605000,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,1.159309632,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.916256613,-4.742351639,-1.303681255,0.000000000,0.000000000,0.000000000,0.000000000,1.121453329,0.000000000,0.000000000
605.610000,0.000000000,0.000000000,0.057918858,1.169465612,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605.710000,0.000000000,0.000000000,0.061116904,1.182622134,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605.812000,0.000000000,0.000000000,0.063584122,1.172272582,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605.846000,0.000000000,0.000000000,0.689155522,1.186938695,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.842906512,-5.123776110,-1.424365143,0.000000000,0.000000000,0.000000000,0.000000000,1.157831798,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.853030510,-5.070049371,-1.400662725,0.000000000,0.000000000,0.000000000,0.000000000,1.147761535,0.000000000,0.000000000
605.913000,0.000000000,0.000000000,0.099523867,1.171281321,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606.015000,0.000000000,0.000000000,0.074565374,1.166599830,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606.072000,0.000000000,0.000000000,0.699896020,1.184539592,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.754960085,-5.349369153,-1.523915336,0.000000000,0.000000000,0.000000000,0.000000000,1.147426687,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.772011583,-5.276323042,-1.489528360,0.000000000,0.000000000,0.000000000,0.000000000,1.161838607,0.000000000,0.000000000
606.109000,0.000000000,0.000000000,0.104253178,1.174453211,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606.213000,0.000000000,0.000000000,0.114229590,1.167918020,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606.315000,0.000000000,0.000000000,0.590727161,1.173327141,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606.320000,0.000000000,0.000000000,0.124456210,1.166569753,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606.323000,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.681753789,-5.583441208,-1.650290753,0.000000000,,,,,,
606.326000,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,1.184594668,0.000000000,0.000000000,,,,,,,,,,,0.000000000,0.000000000,0.000000000,1.167486985,0.000000000,0.000000000
606.327000,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.676396911,-5.602249002,-1.658859439,0.000000000,,,,,,,,,,,,,,,,,,,,,,
606.417000,0.000000000,0.000000000,0.077498641,1.173631733,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606.508000,0.000000000,0.000000000,0.037937160,1.169183227,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606.549000,0.000000000,0.000000000,0.677155784,1.181928025,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606.550000,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,1.151287935,0.000000000,0.000000000,,,,,,,,,,,0.000000000,0.000000000,0.000000000,1.143982860,0.000000000,0.000000000
